,country,year,continent,pop,"Agriculture, value added (% of GDP)",CO2 emissions (metric tons per capita),Domestic credit provided by financial sector (% of GDP),Electric power consumption (kWh per capita),Energy use (kg of oil equivalent per capita),Exports of goods and services (% of GDP),"Fertility rate, total (births per woman)",GDP growth (annual %),Imports of goods and services (% of GDP),"Industry, value added (% of GDP)","Inflation, GDP deflator (annual %)","Life expectancy at birth, total (years)",Population density (people per sq. km of land area),"Services, etc., value added (% of GDP)"
0,Afghanistan,1962,Asia,10267083,,0.0737813379863999,21.2764223318,,,4.87805112036,7.45,,9.3495933059,,,33.219902439,14.3120607787,
1,Afghanistan,1967,Asia,11537966,,0.123782381421,9.917662182110002,,,6.7729084231500005,7.45,,14.2098270385,,,35.3894146341,15.8818123334,
2,Afghanistan,1972,Asia,13079460,,0.130820142126,18.8808331366,,,14.763231241600002,7.45,,18.1058497936,,,37.6101463415,17.9470269277,
3,Afghanistan,1977,Asia,14880372,,0.183118307595,13.8368224128,,,11.6629043317,7.449,,14.8231754979,,,40.1101463415,19.9989262629,
4,Afghanistan,1982,Asia,12881816,,0.165879121664,,,,,7.45,,,,,43.2307317073,19.4023236222,
5,Afghanistan,1987,Asia,13867957,,0.275560305001,,,,,7.461,,,,,47.296341463400005,17.3665594461,
6,Afghanistan,1992,Asia,16317921,,0.101374764198,,,,,7.502000000000001,,,,,51.3629268293,21.0544833502,
7,Afghanistan,1997,Asia,22227415,,0.0607976653156999,,,,,7.636,,,,,54.0178292683,27.6232729835,
8,Afghanistan,2002,Asia,25268405,38.4719400286,0.0411292293382,,,,32.3867187435,7.273,,65.2877040065,23.7140971504,,55.857195122,32.912230799899994,37.813962821
9,Afghanistan,2007,Asia,31889923,30.6228536689,0.0878576421317,0.535180550401,,,17.8237142692,6.437,13.7402049899,58.3500468255,27.3447032583,22.382015778000003,57.8338292683,39.637202463,42.0324430729
10,Albania,1962,Europe,1728137,,1.43995596379,,,,,6.282,,,,,64.1628536585,62.456897810200005,
11,Albania,1967,Europe,1984060,,1.36374630011,,,,,5.394,,,,,66.2872195122,71.7371532847,
12,Albania,1972,Europe,2263554,,2.51591439803,,568.4032016030001,865.592481207,,4.642,,,,,67.5859512195,81.8659124088,
13,Albania,1977,Europe,2509048,,2.27587639136,,1067.81415578,923.728867504,,3.966,,,,,69.4561707317,91.7352554745,
14,Albania,1982,Europe,2780097,31.6997104691,2.62485678513,,1096.87322889,966.683283781,19.3750006044,3.452,2.94859680233,23.877538080300003,43.8001704545,-0.017694288114,70.6851219512,101.615985401,24.5001190764
15,Albania,1987,Europe,3075321,33.2000247238,2.41406081518,,1161.95167669,921.893044018,15.466297013399998,3.164,-0.787842648708,15.5625110097,45.8001516629,2.86176310027e-05,71.8619512195,112.540328467,20.9998236133
16,Albania,1992,Europe,3326498,51.6418702727,0.774724910911,,442.249076774,418.286629757,11.4904380544,2.829,-7.19999998651,88.5122484875,23.320558812,249.683437478,71.900804878,118.505072993,25.0375709153
17,Albania,1997,Europe,3428038,32.700159919200004,0.4903650595359999,54.045926224,680.688921986,384.594958328,9.74565430525,2.423,-10.8378557344,34.1899954311,15.3776513671,12.0887058981,72.898097561,114.900766423,51.9221887137
18,Albania,2002,Europe,3508512,24.2359328702,1.2295407094700002,47.1939124979,1561.12238242,645.080153785,19.598874267,1.975,4.231371011969999,44.3353664726,19.5960719229,2.4105897279,75.1546097561,111.350729927,56.1679952069
19,Albania,2007,Europe,3600523,19.8747975889,1.32233485532,62.0767546352,1213.12436932,679.861765101,28.0842219492,1.635,5.90000000867,54.7882006817,25.3343548857,3.57619479892,76.4702926829,108.394781022,54.7908475134
20,Algeria,1962,Africa,11000948,,0.484953660141,,,,19.7938726751,7.614,-19.6850418178,20.818646682,,2.35127904144,47.045,4.90824019414,
21,Algeria,1967,Africa,12760499,10.3306656723,0.632118426889,27.977088327,,,23.4344167687,7.672000000000001,9.45296255852,21.631769325,42.3858893638,1.31204102269,49.187512195100005,5.60690797484,47.2834497568
22,Algeria,1972,Africa,14760787,8.42084570073,1.84362371436,55.7481446195,142.029427535,261.465250751,20.4495619832,7.597,27.4239694769,25.7268683015,48.1279645394,-4.60646101417,51.171804878,6.456244174430001,43.4511906901
23,Algeria,1977,Africa,17152804,8.47014069952,2.3680820957,58.3122560645,231.710422006,398.656113469,30.5865669301,7.234,5.25858598509,41.7403173006,55.2309016297,11.9270994231,54.5782682927,7.427420289369999,36.2989621619
24,Algeria,1982,Africa,20033753,8.38978653611,1.90855723457,70.8723531324,403.631448571,771.235497639,30.924856323,6.43,6.40000411531,28.998074946,56.1229844886,1.93979420708,60.7863414634,8.63893665975,35.4872353327
25,Algeria,1987,Africa,23254956,12.874659823699998,3.51707376851,95.2258267649,452.673728856,827.552506829,14.2724747252,5.412000000000001,-0.6999975244609999,18.4121097434,46.42370652979999,8.842020420399999,65.4871463415,10.0421914231,40.7016336464
26,Algeria,1992,Africa,26298373,12.1268464157,2.97599750207,55.4487682609,556.6404464369999,883.7458819,25.3195942793,4.223,1.8000023011700002,23.8694899567,49.7159362109,21.9261145266,67.2096829268,11.4122116604,38.1572131487
27,Algeria,1997,Africa,29072015,9.48232015758,2.95087834912,38.5912176891,572.910938631,804.842705115,30.9063113799,2.988,1.09999993808,21.3376001261,52.3070873214,7.00196304903,68.9212195122,12.5486900333,38.2105874028
28,Algeria,2002,Africa,31287142,9.76576774287,2.84002791213,37.8027888095,727.718611219,904.456391853,35.5045343528,2.404,5.6,25.6296330395,52.0683311536,1.3204321730500002,71.0148536585,13.4315193934,38.1659011036
29,Algeria,2007,Africa,33333216,7.68845250023,3.1958645928500005,-3.63603835274,891.80508617,1075.19412704,47.0681628294,2.661,3.4,24.869963137800003,58.5716398271,6.39534430363,72.8983658537,14.385269173,33.7399076727
30,Angola,1962,Africa,4826015,,0.216025342555,,,,,7.396,,,,,33.7875853659,4.384298548169999,
31,Angola,1967,Africa,5247469,,0.166658588848,,,,,7.401,,,,,35.7999756098,4.782891633909999,
32,Angola,1972,Africa,5894858,,0.684120293634,,95.3299410245,629.301934363,,7.36,,,,,37.8269268293,5.2840675383,
33,Angola,1977,Africa,6162675,,0.4712487935459999,,58.5230332795,535.2524622330001,,7.347,,,,,39.5813658537,6.016940723509999,
34,Angola,1982,Africa,7016384,,0.527930762732,,61.3113057707,514.415934309,,7.309,,,,,40.408,7.06465950108,
35,Angola,1987,Africa,7874230,14.2010002136,0.565431153429,,59.01390200310001,502.598458911,50.0,7.256,7.900000003680001,50.0,50.0,-7.321594071739999,40.9738780488,8.25035052539,50.0
36,Angola,1992,Africa,8735988,11.538461538499998,0.438530822634,,57.1357630971,511.237051724,69.2307692308,7.164,-6.90000000175,73.0769230769,53.8461538462,249.087003229,41.3130243902,9.5042680677,38.4615384615
37,Angola,1997,Africa,9875024,9.0020179417,0.5348312996469999,10.0272678857,74.7000333578,494.174484207,68.491938223,7.017,7.90000000977,69.1818059865,60.7577413895,94.3195709837,43.0621219512,11.0707211037,30.2402406688
38,Angola,2002,Africa,10866106,,0.786223278205,5.0041245975,93.546147612,515.4034564030001,68.2909568171,6.829,-6.94046155293,56.6689705374,,196.576793103,46.7117317073,12.9218705382,
39,Angola,2007,Africa,12420476,,1.31109648311,1.87359798726,145.225891681,561.5501055130001,73.95818798350001,6.619,22.5930542991,43.5156263985,,12.6164771813,49.43573170729999,15.387749258,
40,Argentina,1962,Americas,21283783,,2.5223921045,17.265976864000002,,,4.691842759,3.089,-0.8520215234819999,9.383682890569998,,28.8718416517,65.43260975609999,7.778623811980001,
41,Argentina,1967,Americas,22934225,9.98038631665,2.85816254619,18.6515423471,,,7.49559622625,3.048,3.19199662337,4.99706414667,47.3834143823,29.0182629356,65.9300243902,8.37953915131,42.6362011624
42,Argentina,1972,Americas,24779799,10.9848698718,3.63785836634,23.0328503396,920.471533857,1379.81886741,7.19776583908,3.148,1.6284165162600002,6.83787735819,45.5816489507,64.2447859182,67.1679512195,9.05581194801,43.4334758187
43,Argentina,1977,Americas,26983828,8.08714211406,3.74987111478,26.4137652815,1073.01107235,1420.56765898,9.61589241277,3.391,6.93414775538,7.326394155269999,47.8061321946,159.427177706,68.6294390244,9.82156071751,44.1066558214
44,Argentina,1982,Americas,29341374,9.59615604622,3.56708654335,45.9987644434,1200.35225232,1416.53992488,9.0904930786,3.213,-4.95717851904,6.520993021390001,41.1028486443,207.617681377,70.03531707319999,10.5945463315,49.3009953095
